ward,menu_package,address,cost,cost_numeric
1,Alley Resurfacing Menu (2023),W SUPERIOR ST & N PAULINA ST&N WOOD ST & W HURON ST; 1757 W SUPERIOR ST,"$38,716.00",38716.0
1,Alley Speed Hump Replacement (2023),W SUPERIOR ST & N PAULINA ST&N WOOD ST & W HURON ST; 1757 W SUPERIOR ST,$0.00,0.0
1,Arterial Street Bump Outs Menu (2023),N ASHLAND AVE & W HURON ST,"$150,000.00",150000.0
1,Arterial Street Bump Outs Menu (2023),N ASHLAND AVE & W OHIO ST,"$100,000.00",100000.0
1,Bike Lane/Marked Shared Lane Menu (2023),ON N PAULINA ST FROM W GRAND AVE (500 N) TO W AUGUSTA BLVD (1000 N),"$100,000.00",100000.0
1,Concrete Alley Menu (2023),W ARMITAGE AVE & N WHIPPLE ST&N ALBANY AVE & W CORTLAND ST,"$43,441.95",43441.95
1,Curb & Gutter Menu (2023),W BELDEN AVE & N TALMAN AVE,"$94,353.88",94353.88
1,Logan Square Skate Park Renovation (Haas Park),2402 N WASHTENAW AVE,"$100,000.00",100000.0
1,Miscellaneous CDOT Projects (2023),1900 W OHIO ST,$660.00,660.0
1,Miscellaneous CDOT Projects (2023),1958 W DIVISION ST,$660.00,660.0
1,Miscellaneous CDOT Projects (2023),827 N WOOD ST,$761.00,761.0
1,Pavement Markings Menu (2023),ON N ASHLAND AVE FROM W GRAND AVE (500 N) TO W CHICAGO AVE (800 N),"$8,000.00",8000.0
1,Pavement Markings Menu (2023),W FULLERTON AVE & N CAMPBELL AVE,"$10,000.00",10000.0
1,Pavement Markings Menu (2023),W FULLERTON AVE & N TALMAN AVE,"$50,000.00",50000.0
1,Pedestrian Refuge Island Menu (2023),N WESTERN AVE & W CHARLESTON ST,"$28,149.75",28149.75
1,Protected Bike Lane Menu (2023),ON N CALIFORNIA AVE FROM W BLOOMINGDALE AVE (1800 N) TO W LOGAN BLVD N (2600 N),"$375,000.00",375000.0
1,Sidewalk Menu (2023),1056 N PAULINA ST,"$5,062.01",5062.01
1,Sidewalk Menu (2023),2221 W SUPERIOR ST,"$7,034.99",7034.99
1,Sidewalk Menu (2023),N CALIFORNIA AVE & W NORTH AVE,"$8,165.46",8165.46
1,Street Bump Outs Menu (2023),1310-1314 N OAKLEY BLVD,"$10,535.38",10535.38
1,Street Bump Outs Menu (2023),1700 W LE MOYNE ST; W LE MOYNE ST & N PAULINA ST,"$20,933.39",20933.39
1,Street Bump Outs Menu (2023),W CRYSTAL ST & N WOOD ST,"$29,913.24",29913.24
1,Street Bump Outs Menu (2023),W LE MOYNE ST & N WOOD ST,"$14,871.92",14871.92
1,Street Bump Outs Menu (2023),W PIERCE AVE & N PAULINA ST; 1700 W PIERCE AVE,"$21,337.03",21337.03
1,Street Bump Outs Menu (2023),W POTOMAC AVE & N WOOD ST,"$30,232.73",30232.73
1,Street Resurfacing Menu (2023),ON N HERMITAGE AVE FROM W GRAND AVE (500 N) TO W OHIO ST (600 N),"$10,748.74",10748.74
1,Street Resurfacing Menu (2023),ON N WICKER PARK AVE FROM W EVERGREEN AVE (1400 N) TO N DAMEN AVE (1550 N),"$95,717.96",95717.96
1,Street Resurfacing Menu (2023),ON W SCHILLER ST FROM N WICKER PARK AVE (1900 W) TO N DAMEN AVE (2000 W),"$84,704.56",84704.56
1,Street Speed Hump Menu (2023),1370 N DEAN ST,"$2,440.00",2440.0
1,Street Speed Hump Menu (2023),ON N ARTESIAN AVE FROM W ALTGELD ST (2500 N) TO W LOGAN BLVD S (2600 N),"$2,440.00",2440.0
1,Street Speed Hump Menu (2023),ON N CAMPBELL AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2023),ON N MAPLEWOOD AVE FROM W ALTGELD ST (2500 N) TO N AVONDALE AVE (2610 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2023),ON N MAPLEWOOD AVE FROM W BELDEN AVE (2300 N) TO W ALTGELD ST (2500 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2023),ON N RICHMOND ST FROM W CORTLAND ST (1900 N) TO W ARMITAGE AVE (2000 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2023),ON N SAWYER AVE FROM W CORTLAND ST (1900 N) TO W ARMITAGE AVE (2000 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2023),ON N WICKER PARK AVE FROM N WOOD ST (1320 N) TO N WOLCOTT AVE (1370 N),"$4,880.00",4880.0
1,Street Speed Hump Menu (2023),ON W HADDON AVE FROM N HOYNE AVE (2100 W) TO N LEAVITT ST (2200 W),"$4,880.00",4880.0
1,Street Speed Hump Menu (2023),ON W HURON ST FROM N NOBLE ST (1400 W) TO N ASHLAND AVE (1600 W),"$7,320.00",7320.0
1,Street Speed Hump Menu (2023),ON W PEARSON ST FROM N ASHLAND AVE (1600 W) TO N WOOD ST (1800 W),"$9,760.00",9760.0
1,Street Speed Hump Menu (2023),ON W POTOMAC AVE FROM N LEAVITT ST (2200 W) TO N OAKLEY BLVD (2300 W),"$2,440.00",2440.0
1,Street Speed Hump Menu (2023),ON W SCHUBERT AVE FROM N FRANCISCO AVE (2900 W) TO N SACRAMENTO AVE (3000 W),"$2,440.00",2440.0
1,Street Speed Hump Replacement (2023),ON N HERMITAGE AVE FROM W GRAND AVE (500 N) TO W OHIO ST (600 N),$0.00,0.0
1,Street Speed Hump Replacement (2023),ON N WICKER PARK AVE FROM W EVERGREEN AVE (1400 N) TO N DAMEN AVE (1550 N),$0.00,0.0
1,Street Speed Hump Replacement (2023),ON W SCHILLER ST FROM N WICKER PARK AVE (1900 W) TO N DAMEN AVE (2000 W),$0.00,0.0
2,Alley Apron Menu (2023),2353 N LAKEWOOD AVE,"$50,503.65",50503.65
2,Concrete Alley Menu (2023),N LARRABEE ST & W NORTH AVE&W BLACKHAWK ST & N MOHAWK ST,"$318,000.00",318000.0
2,Pavement Markings Menu (2023),E CHICAGO AVE & N MIES VAN DER ROHE WAY,$900.00,900.0
2,Sidewalk Menu (2023),1030 N CLARK ST,"$38,759.53",38759.53
2,Sidewalk Menu (2023),121 W GOETHE ST,"$12,220.67",12220.67
2,Sidewalk Menu (2023),1259 W WEBSTER AVE,"$10,960.72",10960.72
2,Sidewalk Menu (2023),1636 N WELLS ST,"$4,605.21",4605.21
2,Sidewalk Menu (2023),530 E GRAND AVE,"$94,103.81",94103.81
2,Sidewalk Menu (2023),808 N LAKE SHORE DR,"$50,194.51",50194.51
2,Street Bump Outs Menu (2023),W BELDEN AVE & N CLIFTON AVE; W BELDEN AVE & N RACINE AVE,"$56,495.25",56495.25
2,Street Light Upgrade Menu (2023),1542 N HUDSON AVE,$500.00,500.0
2,Street Resurfacing Menu (2023),ON E SUPERIOR ST FROM N MICHIGAN AVE (140 E) TO N LAKE SHORE DR (500 E),"$182,535.41",182535.41
2,Street Resurfacing Menu (2023),ON N DEWITT PL FROM E PEARSON ST (830 N) TO E DELAWARE PL (900 N),"$43,408.43",43408.43
2,Street Resurfacing Menu (2023),ON N FRANKLIN ST FROM W INSTITUTE PL (830 N) TO W CHESTNUT ST (860 N),"$27,270.72",27270.72
2,Street Resurfacing Menu (2023),ON N LAKE SHORE DR FROM E OAK ST (150 E) TO E CEDAR ST (1100 N),"$33,602.68",33602.68
2,Street Resurfacing Menu (2023),ON N MIES VAN DER ROHE WAY FROM E PEARSON ST (830 N) TO E WALTON PL (930 N),"$62,414.72",62414.72
2,Street Resurfacing Menu (2023),ON N SEDGWICK ST FROM W CHICAGO AVE (800 N) TO W LOCUST ST (900 N),"$43,393.13",43393.13
2,Street Resurfacing Menu (2023),ON N WIELAND ST FROM W SCHILLER ST (1400 N) TO W NORTH AVE (1600 N),"$99,331.29",99331.29
2,Street Resurfacing Menu (2023),ON W BURTON PL FROM N STATE PKWY (0 E) TO N DEARBORN ST (40 W),"$23,457.96",23457.96
2,Street Resurfacing Menu (2023),ON W ELM ST FROM N STATE ST (1 E) TO N LA SALLE DR (150 W),"$108,613.16",108613.16
2,Street Resurfacing Menu (2023),ON W GOETHE ST FROM N WELLS ST (200 W) TO N SEDGWICK ST (400 W),"$88,647.60",88647.6
2,Street Resurfacing Menu (2023),ON W MAPLE ST FROM N DEARBORN ST (50 W) TO N CLARK ST (100 W),"$36,902.63",36902.63
2,Street Resurfacing Menu (2023),ON W WEED ST FROM N HALSTED ST (800 W) TO N DAYTON ST (830 W),"$27,768.94",27768.94
2,Street Resurfacing Menu (2023),ON W WENDELL ST FROM 160 W TO N WELLS ST (200 W),"$25,202.11",25202.11
2,Street Speed Hump Menu (2023),ON N LAKEWOOD AVE FROM W BELDEN AVE (2300 N) TO W FULLERTON AVE (2400 N),"$2,440.00",2440.0
2,Street Speed Hump Menu (2023),ON N MAGNOLIA AVE FROM W DICKENS AVE (2100 N) TO W WEBSTER AVE (2200 N),"$4,880.00",4880.0
2,Street Speed Hump Replacement (2023),ON N WIELAND ST FROM W SCHILLER ST (1400 N) TO W NORTH AVE (1600 N),$0.00,0.0
