ward,menu_package,address,cost,cost_numeric
2,Alley Speed Hump Menu (2024),W FULLERTON AVE & N JANSSEN AVE&N SOUTHPORT AVE & W BELDEN AVE; 1425 W FULLERTON AVE,"$2,900.00",2900.0
2,Arterial Street Bump Outs Menu (2024),N SOUTHPORT AVE & W BELDEN AVE,"$400,000.00",400000.0
2,Concrete Alley Menu (2024),N LARRABEE ST & W NORTH AVE&W BLACKHAWK ST & N MOHAWK ST,"$61,080.84",61080.84
2,Curb & Gutter Menu (2024),161 W BURTON PL,"$4,174.37",4174.37
2,Curb & Gutter Menu (2024),ON E HURON ST FROM N MCCLURG CT (400 E) TO N LAKE SHORE DR (500 E),"$58,975.44",58975.44
2,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",N HALSTED ST & W BLACKHAWK ST,$350.00,350.0
2,Miscellaneous CDOT Projects (2024),E LAKE SHORE DR & N MICHIGAN AVE,$761.00,761.0
2,Miscellaneous CDOT Projects (2024),N LA SALLE DR & W BURTON PL,"$105,000.00",105000.0
2,Miscellaneous CDOT Projects (2024),N LA SALLE DR & W DELAWARE PL,"$120,000.00",120000.0
2,Miscellaneous CDOT Projects (2024),ON W FULLERTON AVE FROM N JANSSEN AVE (1430 W) TO N GREENVIEW AVE (1500 W),"$4,773.00",4773.0
2,Sidewalk Menu (2024),1250 N LA SALLE DR,"$23,843.94",23843.94
2,Sidewalk Menu (2024),1339 N DEARBORN ST,"$20,115.81",20115.81
2,Sidewalk Menu (2024),1554 N DEARBORN PKWY,"$12,840.21",12840.21
2,Sidewalk Menu (2024),2210 N SOUTHPORT AVE,"$21,667.54",21667.54
2,Sidewalk Menu (2024),W WEBSTER AVE & N WAYNE AVE,"$31,223.69",31223.69
2,Street Light Pole Painting Menu (2024),ON N DEARBORN ST FROM W GOETHE ST (1300 N) TO W SCHILLER ST (1400 N),"$1,800.00",1800.0
2,Street Resurfacing Menu (2024),ON E DELAWARE PL FROM N MICHIGAN AVE (150 E) TO N LAKE SHORE DR (300 E),"$156,618.88",156618.88
2,Street Resurfacing Menu (2024),ON E LAKE SHORE DR FROM N LAKE SHORE DR RAMP (330 N) TO N MICHIGAN AVE (1000 N),"$55,540.08",55540.08
2,Street Resurfacing Menu (2024),ON N MCCLURG CT FROM E OHIO ST (600 N) TO E ERIE ST (660 N),"$47,031.91",47031.91
2,Street Resurfacing Menu (2024),ON N NORTH PARK AVE FROM W NORTH AVE (1600 N) TO W EUGENIE ST (1700 N),"$21,704.35",21704.35
2,Street Speed Hump Menu (2024),ON N LAKEWOOD AVE FROM W BELDEN AVE (2300 N) TO W FULLERTON AVE (2400 N),"$2,440.00",2440.0
