"year","ward","GEOID_Full","funding_share","total_cost","num_projects","median_income","income_moe","pb_share","pct_under25k","pct_25k_49k","pct_50k_74k","pct_75k_125k","ward_median_income","ward_median_income_10k","income_10k","inc_x_pb","year_f","drop_reason"
2023,1,"170312203002",0.1,150000,2,92696,30390,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,9.2696,6.17973333333333,"2023",NA
2023,1,"170312204002",0.001627,2440,1,124948,31210,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,12.4948,8.32986666666667,"2023",NA
2023,1,"170312211002",0.003253,4880,1,73229,50267,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,7.3229,4.88193333333333,"2023",NA
2023,1,"170312212001",0.028961,43441.95,1,120500,40436,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,12.05,8.03333333333333,"2023",NA
2023,1,"170312213003",0.003253,4880,1,81944,22770,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,8.1944,5.46293333333333,"2023",NA
2023,1,"170312214001",0.062903,94353.88,1,143011,79064,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,14.3011,9.53406666666667,"2023",NA
2023,1,"170312215001",0.018767,28149.75,1,46958,43271,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,4.6958,3.13053333333333,"2023",NA
2023,1,"170312225001",0.25,375000,1,155878,7134,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,15.5878,10.3918666666667,"2023",NA
2023,1,"170312410002",0.005444,8165.46,1,96161,28911,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,9.6161,6.41073333333333,"2023",NA
2023,1,"170312411002",0.003253,4880,1,89861,16544,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,8.9861,5.99073333333333,"2023",NA
2023,1,"170312412002",0.008651,12975.38,2,136515,36846,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,13.6515,9.101,"2023",NA
2023,1,"170312414001",0.120282,180422.52,4,151933,74048,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,15.1933,10.1288666666667,"2023",NA
2023,1,"170312414002",0.003253,4880,1,201806,82630,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,20.1806,13.4537333333333,"2023",NA
2023,1,"170312414003",0.040097,60145.97,2,250001,NA,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,25.0001,16.6667333333333,"2023",NA
2023,1,"170312414004",0.00044,660,1,164097,41087,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,16.4097,10.9398,"2023",NA
2023,1,"170312415001",0.038095,57142.32,5,202125,21264,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,20.2125,13.475,"2023",NA
2023,1,"170312415003",0.001627,2440,1,146591,50649,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,14.6591,9.77273333333333,"2023",NA
2023,1,"170312421002",0.070042,105062.01,2,161591,113026,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,16.1591,10.7727333333333,"2023",NA
2023,1,"170312421003",0.012347,18521,3,209375,56526,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,20.9375,13.9583333333333,"2023",NA
2023,1,"170312423001",0.003253,4880,1,106613,7707,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,10.6613,7.10753333333333,"2023",NA
2023,1,"170312429001",0.00469,7034.99,1,124034,32692,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,12.4034,8.26893333333333,"2023",NA
2023,1,"170312431002",0.00044,660,1,81439,35661,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,8.1439,5.42926666666667,"2023",NA
2023,1,"170312432002",0.073833,110748.74,3,92059,64103,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,9.2059,6.13726666666667,"2023",NA
2023,1,"170318309002",0.0148,22200,4,128073,13902,0.666666666666667,0.0666235446313066,0.087137312881168,0.0702273147292552,0.159027906117169,138798.478136838,13.8798478136838,12.8073,8.5382,"2023",NA
2023,2,"170310710001",0.03904,56495.24,2,158214,90629,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,15.8214,0,"2023",NA
2023,2,"170310715001",0.003182,4605.21,1,120988,20576,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,12.0988,0,"2023",NA
2023,2,"170310802012",0.01621,23457.96,1,113571,35413,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,11.3571,0,"2023",NA
2023,2,"170310802021",0.008445,12220.67,1,118408,30937,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,11.8408,0,"2023",NA
2023,2,"170310802022",0.061258,88647.6,2,103491,16343,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,10.3491,0,"2023",NA
2023,2,"170310803003",0.068641,99331.29,2,145069,76507,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,14.5069,0,"2023",NA
2023,2,"170310804001",0.000346,500,1,41200,28892,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,4.12,0,"2023",NA
2023,2,"170310804003",0.219748,318000,1,233214,101701,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,23.3214,0,"2023",NA
2023,2,"170310810001",0.025501,36902.63,1,153958,103022,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,15.3958,0,"2023",NA
2023,2,"170310810003",0.026784,38759.53,1,76337,22129,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,7.6337,0,"2023",NA
2023,2,"170310812022",0.023221,33602.68,1,176850,172967,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,17.685,0,"2023",NA
2023,2,"170310813003",0.043131,62414.72,1,144722,70391,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,14.4722,0,"2023",NA
2023,2,"170310813004",0.035308,51094.51,2,135813,31461,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,13.5813,0,"2023",NA
2023,2,"170310814011",0.126138,182535.41,1,65781,42462,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,6.5781,0,"2023",NA
2023,2,"170310814021",0.065029,94103.81,1,142306,52442,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,14.2306,0,"2023",NA
2023,2,"170310818001",0.048831,70663.85,2,197768,70300,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,19.7768,0,"2023",NA
2023,2,"170318325002",0.047532,68784.37,4,196591,64844,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,19.6591,0,"2023",NA
2023,2,"170318422001",0.019189,27768.94,1,95174,20425,0,0.046053888782725,0.059908274412383,0.0585706095929677,0.119434358876362,122682.704595063,12.2682704595063,9.5174,0,"2023",NA
2023,3,"170313301031",0.016606,24909.09,1,94323,66240,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,9.4323,0,"2023",NA
2023,3,"170313301033",0.000333,500,1,93892,38379,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,9.3892,0,"2023",NA
2023,3,"170313302002",0.15363,230440.58,9,187986,68758,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,18.7986,0,"2023",NA
2023,3,"170313514001",0.104135,156201.3,2,30542,29433,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,3.0542,0,"2023",NA
2023,3,"170313801001",0.000333,500,1,79734,30741,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,7.9734,0,"2023",NA
2023,3,"170313802001",0.003447,5171.9,7,18690,8251,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,1.869,0,"2023",NA
2023,3,"170313806001",0.020497,30746,1,53226,41865,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,5.3226,0,"2023",NA
2023,3,"170313812001",0.038174,57259.95,4,100694,23779,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,10.0694,0,"2023",NA
2023,3,"170313812002",0.025225,37837.24,2,44029,8876,0,0.172315849270971,0.146279113804204,0.0941109638326075,0.167771255444045,80435.307700434,8.0435307700434,4.4029,0,"2023",NA
