ward,menu_package,address,cost,cost_numeric,cost_share
1,Alley Apron Menu (2024),2619 N WASHTENAW AVE,"$69,430.67",69430.67,0.049226
1,Arterial Street Bump Outs Menu (2024),N WESTERN AVE & W BLOOMINGDALE AVE,"$23,508.74",23508.74,0.016668
1,at N. California Ave. & W. Armitage Ave. LED Traffic Signal Upgrades & Pedestrian Countdown,W ARMITAGE AVE & N KEDZIE AVE,"$16,987.88",16987.88,0.012044
1,Curb & Gutter Menu (2024),1415 N WOOD ST,"$43,169.06",43169.06,0.030607
1,Curb & Gutter Menu (2024),2540 W ARMITAGE AVE,"$17,136.20",17136.20,0.012150
1,,2002 N STAVE ST,"$17,136.20",17136.20,0.012150
1,,W ARMITAGE AVE & N STAVE ST,"$17,136.20",17136.20,0.012150
1,Curb & Gutter Menu (2024),W BELDEN AVE & N TALMAN AVE,"$67,746.48",67746.48,0.048032
1,Goethe Elementary School - New Playspace and Field,2236 N ROCKWELL ST,"$100,000.00",100000.0,0.070900
1,Installation of LED and pedestrian countdown traffic signals,N CALIFORNIA AVE & W ARMITAGE AVE,"$19,957.74",19957.74,0.014150
1,Miscellaneous Other Projects (2024),1425 N DAMEN AVE,"$175,000.00",175000.0,0.124075
1,Park 399 Upgrades - 1420 N Artesian,1420 N ARTESIAN AVE,"$100,000.00",100000.0,0.070900
1,Sidewalk Menu (2024),1347 N GREENVIEW AVE,"$11,062.30",11062.3,0.007843
1,Sidewalk Menu (2024),1601-1699 W SUPERIOR ST,"$70,098.09",70098.09,0.049700
1,Signal (2024) Miscellaneous CDOT Projects (2024),2735 W ARMITAGE AVE,$660.00,660.0,0.000468
1,Speed Indicator Signs (2024),2634 W LOGAN BLVD,"$16,310.35",16310.35,0.011564
1,,2909 W LOGAN BLVD,"$16,310.35",16310.35,0.011564
1,Street Bump Outs Menu (2024),N CALIFORNIA AVE & W CORTLAND ST,"$20,463.11",20463.11,0.014508
1,Street Light Upgrade Menu (2024),1502 N DAMEN AVE,$500.00,500.00,0.000354
1,,1530 N DAMEN AVE,$500.00,500.00,0.000354
1,,1542 N DAMEN AVE,$500.00,500.00,0.000354
1,Street Resurfacing Menu (2024),1501-1599 N BELL AVE,"$20,668.85",20668.85,0.014654
1,,1500-1600 N Bell Ave,"$20,668.85",20668.85,0.014654
1,Street Resurfacing Menu (2024),1325-1200 N Wood St,"$150,689.86",150689.86,0.106839
1,Street Resurfacing Menu (2024),1000-1100 N Wood St,"$79,068.79",79068.79,0.056060
1,Street Resurfacing Menu (2024),1100-1200 N Wood St,"$121,580.82",121580.82,0.086201
1,Street Resurfacing Menu (2024),1700-1800 W Erie St,"$75,102.45",75102.45,0.053248
1,Street Resurfacing Menu (2024),2500-2540 W Le Moyne St,"$13,319.57",13319.57,0.009444
1,Street Speed Hump Menu (2024),1500-1600 N Artesian Ave,"$4,880.00",4880.0,0.003460
1,Street Speed Hump Menu (2024),2700-2800 N Francisco Ave,"$4,880.00",4880.0,0.003460
1,Street Speed Hump Menu (2024),800-1000 N Hermitage Ave,"$7,320.00",7320.0,0.005190
1,Street Speed Hump Menu (2024),1500-1600 N Oakley Ave,"$4,880.00",4880.0,0.003460
1,Street Speed Hump Menu (2024),2000-2160 N Stave St,"$12,200.00",12200.0,0.008650
1,Street Speed Hump Menu (2024),2400-2600 N Talman Ave,"$9,760.00",9760.0,0.006920
1,Street Speed Hump Menu (2024),1600-1800 W Beach Ave,"$9,760.00",9760.0,0.006920
1,Street Speed Hump Menu (2024),2000-2200 W Cortez St,"$9,760.00",9760.0,0.006920
1,Street Speed Hump Menu (2024),2600-2800 W Cortland St,"$9,760.00",9760.0,0.006920
1,Street Speed Hump Menu (2024),2800-3000 W Dickens Ave,"$7,320.00",7320.0,0.005190
1,Street Speed Hump Menu (2024),1700-1800 W Erie St,"$4,880.00",4880.0,0.003460
1,Street Speed Hump Menu (2024),2400-2540 W Le Moyne St,"$7,320.00",7320.0,0.005190
1,Street Speed Hump Menu (2024),2400-2500 W Lyndale St,"$2,440.00",2440.0,0.001730
1,Street Speed Hump Menu (2024),2840-3000 W Medill Ave,"$2,440.00",2440.0,0.001730
1,Street Speed Hump Menu (2024),2000-2200 W Thomas St,"$9,760.00",9760.0,0.006920
1,Street Speed Hump Replacement (2024),1500-1600 N Bell Ave,$0.00,0.00,0.000000
1,,1501-1599 N BELL AVE,$0.00,0.00,0.000000
1,Street Traffic Circle Menu (2024),N ROCKWELL ST & W CORTLAND ST,"$18,365.38",18365.38,0.013021
2,(2024) Miscellaneous CDOT Projects (2024),530 N MCCLURG CT,$660.00,660.0,0.000506
2,Alley Resurfacing Menu (2024),N CLARK ST & W SCHILLER ST & W BURTON PL & N DEARBORN ST,"$27,810.45",27810.45,0.021326
2,Alley Resurfacing Menu (2024),N HUDSON AVE & W NORTH AVE & W BLACKHAWK ST & N SEDGWICK ST,"$38,625.63",38625.63,0.029620
2,Alley Resurfacing Menu (2024),N MAGNOLIA AVE & W WEBSTER AVE & W BELDEN AVE & N RACINE AVE,"$40,370.34",40370.34,0.030958
2,Alley Resurfacing Menu (2024),N WELLS ST & W GOETHE ST & W SCHILLER ST & N LA SALLE DR,"$34,499.24",34499.24,0.026456
2,Alley Speed Hump Menu (2024),E ONTARIO ST & N ST CLAIR ST & N FAIRBANKS CT & E OHIO ST,"$2,175.00",2175.0,0.001668
2,Alley Speed Hump Menu (2024),N GREENVIEW AVE & N CLYBOURN AVE & N JANSSEN AVE & W BELDEN AVE,"$2,175.00",2175.0,0.001668
2,Alley Speed Hump Menu (2024),W FULLERTON AVE & N JANSSEN AVE & N SOUTHPORT AVE & W BELDEN AVE,"$1,450.00",1450.00,0.001112
2,,1425 W FULLERTON AVE,"$1,450.00",1450.00,0.001112
2,Arterial Street Bump Outs Menu (2024),N SOUTHPORT AVE & W BELDEN AVE,"$400,000.00",400000.0,0.306740
2,Concrete Alley Menu (2024),N LARRABEE ST & W NORTH AVE & W BLACKHAWK ST & N MOHAWK ST,"$61,080.84",61080.84,0.046840
2,Curb & Gutter Menu (2024),161 W BURTON PL,"$4,174.37",4174.37,0.003201
2,Curb & Gutter Menu (2024),400-500 E Huron St,"$58,975.44",58975.44,0.045225
2,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",N HALSTED ST & W BLACKHAWK ST,$350.00,350.0,0.000268
2,Miscellaneous CDOT Projects (2024),E LAKE SHORE DR & N MICHIGAN AVE,$761.00,761.0,0.000584
2,Miscellaneous CDOT Projects (2024),N LA SALLE DR & W BURTON PL,"$105,000.00",105000.0,0.080519
2,Miscellaneous CDOT Projects (2024),N LA SALLE DR & W DELAWARE PL,"$120,000.00",120000.0,0.092022
2,Miscellaneous CDOT Projects (2024),1430-1500 W Fullerton Ave,"$4,773.00",4773.0,0.003660
2,Sidewalk Menu (2024),1250 N LA SALLE DR,"$23,843.94",23843.94,0.018285
2,Sidewalk Menu (2024),1339 N DEARBORN ST,"$20,115.81",20115.81,0.015426
2,Sidewalk Menu (2024),1554 N DEARBORN PKWY,"$12,840.21",12840.21,0.009847
2,Sidewalk Menu (2024),2210 N SOUTHPORT AVE,"$21,667.54",21667.54,0.016616
2,Sidewalk Menu (2024),W WEBSTER AVE & N WAYNE AVE,"$31,223.69",31223.69,0.023944
2,Street Light Pole Painting Menu (2024),1300-1400 N Dearborn St,"$1,800.00",1800.0,0.001380
2,Street Resurfacing Menu (2024),150-300 E Delaware Pl,"$156,618.88",156618.88,0.120103
2,Street Resurfacing Menu (2024),330-1000 E Lake Shore Dr,"$55,540.08",55540.08,0.042591
2,Street Resurfacing Menu (2024),600-660 N Mcclurg Ct,"$47,031.91",47031.91,0.036066
2,Street Resurfacing Menu (2024),1600-1700 N North Park Ave,"$21,704.35",21704.35,0.016644
2,Street Speed Hump Menu (2024),2300-2400 N Lakewood Ave,"$2,440.00",2440.0,0.001871
2,Street Speed Hump Menu (2024),200-300 W Chestnut St,"$2,440.00",2440.0,0.001871
2,Street Speed Hump Menu (2024),200-300 W Institute Pl,"$2,440.00",2440.0,0.001871
3,Alley Resurfacing Menu (2024),E 44TH PL & S VINCENNES AVE & E 45TH ST & S ST LAWRENCE AVE,"$57,146.97",57146.97,0.038098
3,Alley Resurfacing Menu (2024),E 44TH ST & S VINCENNES AVE,"$16,727.47",16727.47,0.011152
3,,436 E 44TH ST,"$16,727.47",16727.47,0.011152
3,,E 44TH ST & S DR MARTIN LUTHER KING JR DR E,"$16,727.47",16727.47,0.011152
3,Alley Resurfacing Menu (2024),S CALUMET AVE & E 42ND ST & E 43RD ST & S DR MARTIN LUTHER KING JR DR,"$46,904.63",46904.63,0.031270
3,Alley Resurfacing Menu (2024),S INDIANA AVE & E 21ST ST & E CULLERTON ST & S PRAIRIE AVE,"$17,335.18",17335.18,0.011557
3,Alley Resurfacing Menu (2024),S INDIANA AVE & E 50TH ST & E 51ST ST & S PRAIRIE AVE,"$31,425.81",31425.81,0.020951
3,Alley Resurfacing Menu (2024),S MICHIGAN AVE & E 40TH ST & E PERSHING RD & S INDIANA AVE,"$45,297.80",45297.8,0.030199
3,Alley Resurfacing Menu (2024),S STATE ST & W 43RD ST & E 44TH ST & S WABASH AVE,"$67,066.03",67066.03,0.044711
3,Alley Resurfacing Menu (2024),S VINCENNES AVE & E 46TH PL & E 47TH ST & S ST LAWRENCE AVE,"$44,617.99",44617.99,0.029745
3,Alley Speed Hump Menu (2024),E 16TH ST & S MICHIGAN AVE & S INDIANA AVE & E 18TH ST,"$2,175.00",2175.0,0.001450
3,Alley Speed Hump Replacement (2024),S CALUMET AVE & E 42ND ST & E 43RD ST & S DR MARTIN LUTHER KING JR DR,$0.00,0.0,0.000000
3,Arterial Street Bump Outs Menu (2024),1400-1527 S Indiana Ave,"$65,000.00",65000.00,0.043333
3,,S INDIANA AVE & E 14TH ST,"$65,000.00",65000.00,0.043333
3,Arterial Street Bump Outs Menu (2024),S STATE ST & E 14TH PL,"$28,059.35",28059.35,0.018706
3,Curb & Gutter Menu (2024),3800-3814 S DR MARTIN LUTHER KING JR DR,"$34,004.20",34004.2,0.022669
3,Installation of Accessible Pedestrian Signals (APS) at S. Dr.,S DR MARTIN LUTHER KING JR DR & E 41ST ST,"$76,277.00",76277.0,0.050851
3,Martin Luther King Jr. Dr. & E. 41st ST. Miscellaneous CDOT Projects (2024),5327 S PRAIRIE AVE,$150.00,150.0,0.000100
3,Pavement Markings Menu (2024),S INDIANA AVE & E 14TH ST,"$2,000.00",2000.00,0.001333
3,,1400-1527 S Indiana Ave,"$2,000.00",2000.00,0.001333
3,Sidewalk Menu (2024),1310 S WABASH AVE,"$17,451.31",17451.31,0.011634
3,Sidewalk Menu (2024),3330 S INDIANA AVE,"$8,519.87",8519.87,0.005680
3,Sidewalk Menu (2024),4938 S DR MARTIN LUTHER KING JR DR,"$3,323.41",3323.41,0.002216
3,Sidewalk Menu (2024),4948 S INDIANA AVE,"$5,328.13",5328.13,0.003552
3,,4918 S INDIANA AVE,"$5,328.13",5328.13,0.003552
3,,4938 S INDIANA AVE,"$5,328.13",5328.13,0.003552
3,Sidewalk Menu (2024),4500-4530 S Dr Martin Luther King Jr Dr E,"$40,557.73",40557.73,0.027038
3,Speed Indicator Signs (2024),1400-1527 S Indiana Ave,"$28,000.00",28000.0,0.018667
3,Street Bump Outs Menu (2024),W 16TH ST & S DEARBORN ST,"$32,000.00",32000.0,0.021333
3,Street Resurfacing Menu (2024),3800-3814 S DR MARTIN LUTHER KING JR DR,"$11,743.80",11743.8,0.007829
3,Street Resurfacing Menu (2024),0-100 E 29th St,"$82,088.75",82088.75,0.054726
3,Street Resurfacing Menu (2024),500-600 E 44th Pl,"$52,948.69",52948.69,0.035299
3,Street Resurfacing Menu (2024),1-200 E 44th St,"$67,116.15",67116.15,0.044744
3,Street Resurfacing Menu (2024),3500-3700 S Calumet Ave,"$114,792.51",114792.51,0.076528
3,Street Resurfacing Menu (2024),4500-4600 S Champlain Ave,"$30,623.88",30623.88,0.020416
3,Street Resurfacing Menu (2024),4699-4899 S Vincennes Ave,"$152,408.58",152408.58,0.101606
3,Street Resurfacing Menu (2024),0-120 W 17th St,"$84,183.08",84183.08,0.056122
3,Street Resurfacing Menu (2024),12-120 W 19th St,"$88,334.35",88334.35,0.058890
3,Street Speed Hump Replacement (2024),3500-3700 S Calumet Ave,$0.00,0.0,0.000000
3,Street Traffic Circle Menu (2024),W 46TH ST & S PRINCETON AVE,"$35,000.00",35000.0,0.023333
3,Viaduct Improvement Menu (2024),1178 S PLYMOUTH CT,$281.11,281.11,0.000187
4,Alley Resurfacing Menu (2024),S ELLIS AVE & E 45TH ST & E 46TH ST & S GREENWOOD AVE,"$23,218.24",23218.24,0.016374
4,Alley Speed Hump Replacement (2024),S ELLIS AVE & E 45TH ST & E 46TH ST & S GREENWOOD AVE,$0.00,0.0,0.000000
4,Arterial Street Bump Outs Menu (2024),E 43RD ST & S BERKELEY AVE,"$54,641.69",54641.69,0.038535
4,Concrete Alley Menu (2024),E 42ND PL & S ST LAWRENCE AVE & S VINCENNES AVE & E 43RD ST,"$548,000.00",548000.0,0.386462
4,Concrete Alley Menu (2024),S CHAMPLAIN AVE & E 49TH ST & E 50TH PL & S ST LAWRENCE AVE,"$7,685.70",7685.7,0.005420
4,Concrete Alley Menu (2024),S ELLIS AVE & E 45TH ST & E 46TH ST & S GREENWOOD AVE,"$266,000.00",266000.0,0.187589
4,Curb & Gutter Menu (2024),4830-4832 S DORCHESTER AVE,"$11,331.57",11331.57,0.007991
4,Miscellaneous CDOT Projects (2024),400 E PERSHING RD,$660.00,660.0,0.000465
