ward,menu_package,address,cost_numeric,cost_share,lat,lon,Tract,Block_Group,GEOID_Full
1,,1757 W SUPERIOR ST,0.0,0.0,41.894894485313,-87.671890560385,243200,1,170312432001
1,,W LE MOYNE ST & N PAULINA ST,10466.69,0.006978,41.909077000762,-87.670081997137,241500,1,170312415001
1,,1700 W PIERCE AVE,10668.51,0.007112,41.909885514562,-87.6701879962,241500,1,170312415001
2,Alley Apron Menu (2023),2353 N LAKEWOOD AVE,50503.65,0.0349,41.924944562596,-87.660814089481,832500,2,170318325002
2,Concrete Alley Menu (2023),N LARRABEE ST & W NORTH AVE & W BLACKHAWK ST & N MOHAWK ST,318000.0,0.219748,41.909199083182,-87.642157099974,080400,3,170310804003
2,Pavement Markings Menu (2023),E CHICAGO AVE & N MIES VAN DER ROHE WAY,900.0,0.000622,41.896774797652,-87.621817909005,081300,4,170310813004
2,Sidewalk Menu (2023),1030 N CLARK ST,38759.53,0.026784,41.901604282624,-87.631840821184,081000,3,170310810003
2,Sidewalk Menu (2023),121 W GOETHE ST,12220.67,0.008445,41.905631368005,-87.632396876641,080202,1,170310802021
2,Sidewalk Menu (2023),1259 W WEBSTER AVE,10960.72,0.007574,41.921401499734,-87.660588402143,832500,2,170318325002
2,Sidewalk Menu (2023),1636 N WELLS ST,4605.21,0.003182,41.912142598029,-87.635035080665,071500,1,170310715001
2,Sidewalk Menu (2023),530 E GRAND AVE,94103.81,0.065029,41.892000691195,-87.612673984323,081402,1,170310814021
2,Sidewalk Menu (2023),808 N LAKE SHORE DR,50194.51,0.034686,41.897220002439,-87.617877576322,081300,4,170310813004
2,Street Bump Outs Menu (2023),W BELDEN AVE & N CLIFTON AVE,28247.62,0.01952,41.923497981356,-87.657166993086,071000,1,170310710001
2,Street Light Upgrade Menu (2023),1542 N HUDSON AVE,500.0,0.000346,41.910524262074,-87.640026420187,080400,1,170310804001
2,Street Resurfacing Menu (2023),140-500 E Superior St,182535.41,0.126138,41.895810564663,-87.623808042189,081401,1,170310814011
2,Street Resurfacing Menu (2023),830-900 N Dewitt Pl,43408.43,0.029997,41.899514422705,-87.620412766757,081300,5,170310813005
2,Street Resurfacing Menu (2023),830-860 N Franklin St,27270.72,0.018845,41.898372472217,-87.63607778942,081800,1,170310818001
2,Street Resurfacing Menu (2023),150-1100 N Lake Shore Dr,33602.68,0.023221,41.902609272815,-87.625120546494,081202,2,170310812022
2,Street Resurfacing Menu (2023),830-930 N Mies Van Der Rohe Way,62414.72,0.043131,41.899525032272,-87.621946647751,081300,3,170310813003
2,Street Resurfacing Menu (2023),800-900 N Sedgwick St,43393.13,0.029986,41.896792986382,-87.638819007035,081800,1,170310818001
2,Street Resurfacing Menu (2023),1400-1600 N Wieland St,99331.29,0.068641,41.907704003112,-87.63573496958,080300,3,170310803003
2,Street Resurfacing Menu (2023),0-40 W Burton Pl,23457.96,0.01621,41.909528653958,-87.629957698255,080201,2,170310802012
2,Street Resurfacing Menu (2023),1-150 W Elm St,108613.16,0.075055,41.90297014548,-87.633657942041,081000,4,170310810004
2,Street Resurfacing Menu (2023),200-400 W Goethe St,88647.6,0.061258,41.905964967751,-87.631908379324,080202,2,170310802022
2,Street Resurfacing Menu (2023),50-100 W Maple St,36902.63,0.025501,41.901954017534,-87.631490038536,081000,1,170310810001
