ward,menu_package,address,cost,cost_numeric,cost_share
2,Street Bump Outs Menu (2025),W BELDEN AVE & N MAGNOLIA AVE,"$70,000.00",70000.0,0.046667
2,Street Light Pole Painting Menu (2025),129-130 W NORTH AVE,"$1,392.29",1392.29,0.000928
2,,15 E DIVISION ST,"$1,392.29",1392.29,0.000928
2,,1024 N STATE ST,"$1,392.29",1392.29,0.000928
2,,317 E ONTARIO ST,"$1,392.29",1392.29,0.000928
2,,1642 N NORTH PARK AVE,"$1,392.29",1392.29,0.000928
2,,N FAIRBANKS CT & E ONTARIO ST,"$1,392.29",1392.29,0.000928
2,,534 N FAIRBANKS CT,"$1,392.29",1392.29,0.000928
2,Street Light Pole Painting Menu (2025),1599-1700 N Clark St,"$21,336.00",21336.0,0.014224
2,Street Light Pole Painting Menu (2025),2132-2330 N Clybourn Ave,"$38,467.00",38467.0,0.025645
2,Street Light Pole Painting Menu (2025),528-628 N Fairbanks Ct,"$16,267.00",16267.0,0.010845
2,Street Light Pole Painting Menu (2025),1600-1710 N La Salle St,"$16,983.00",16983.0,0.011322
2,Street Light Pole Painting Menu (2025),1300-1500 N State Pkwy,"$17,965.00",17965.0,0.011977
2,Street Light Pole Painting Menu (2025),300-800 W North Ave,"$47,454.00",47454.0,0.031636
2,Street Light Upgrade Menu (2025),1742-1744 N CLYBOURN AVE,$500.00,500.0,0.000333
2,Street Light Upgrade Menu (2025),1760 N CLYBOURN AVE,$500.00,500.0,0.000333
2,Street Resurfacing Menu (2025),250-300 E Chestnut St,"$67,356.85",67356.85,0.044905
2,Street Resurfacing Menu (2025),200-300 E Huron St,"$70,163.16",70163.16,0.046775
2,Street Resurfacing Menu (2025),2200-2400 N Southport Ave,"$72,850.23",72850.23,0.048567
2,Street Resurfacing Menu (2025),1232-1400 N State Pkwy,"$116,763.57",116763.57,0.077842
2,Street Resurfacing Menu (2025),900-1000 W Concord Ln,"$55,910.27",55910.27,0.037274
2,Street Resurfacing Menu (2025),1200-1300 W Dickens Ave,"$76,768.97",76768.97,0.051179
2,Street Speed Hump Menu (2025),849 N FRANKLIN ST,"$1,220.00",1220.00,0.000813
2,,830-860 N Franklin St,"$1,220.00",1220.00,0.000813
2,Street Speed Hump Replacement (2025),1232-1400 N State Pkwy,$0.00,0.0,0.000000
2,Street Speed Hump Replacement (2025),1200-1300 W Dickens Ave,$0.00,0.0,0.000000
2,Traffic Signal Pole Painting menu (2025),2132-2400 N Southport Ave,"$18,830.00",18830.0,0.012553
2,Viaduct Improvement Menu (2025),E DIVISION ST & N LAKE SHORE DR,"$20,446.77",20446.77,0.013631
3,Alley Resurfacing Menu (2025),S CALUMET AVE & E 40TH ST & E 41ST ST & S PRAIRIE AVE,"$37,129.36",37129.36,0.024986
3,Alley Resurfacing Menu (2025),S MICHIGAN AVE & E 21ST ST & E CERMAK RD & S WABASH AVE,"$12,883.19",12883.19,0.008669
3,Alley Resurfacing Menu (2025),S MICHIGAN AVE & E 40TH ST & E 41ST ST & S INDIANA AVE,"$32,105.62",32105.62,0.021605
3,Alley Resurfacing Menu (2025),S PRAIRIE AVE & E PERSHING RD & E 40TH ST & S INDIANA AVE,"$52,768.75",52768.75,0.035510
3,Alley Speed Hump Menu (2025),S STATE ST & W 43RD ST & E 44TH ST & S WABASH AVE,"$2,175.00",2175.0,0.001464
3,Alley Speed Hump Replacement (2025),S MICHIGAN AVE & E 21ST ST & E CERMAK RD & S WABASH AVE,$0.00,0.0,0.000000
3,Alley Speed Hump Replacement (2025),S PRAIRIE AVE & E PERSHING RD & E 40TH ST & S INDIANA AVE,$0.00,0.0,0.000000
3,Curb & Gutter Menu (2025),10 W 35TH PL,"$5,270.63",5270.63,0.003547
3,Floodlight Menu (2025),346 W SWANN ST,"$1,150.00",1150.0,0.000774
3,Miscellaneous CDOT Projects (2025),1920 S PRAIRIE AVE,"$4,600.00",4600.0,0.003095
3,Miscellaneous CDOT Projects (2025),306 E PERSHING RD,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),3663 S INDIANA AVE,$300.00,300.0,0.000202
3,Miscellaneous CDOT Projects (2025),3859 S GILES AVE,$660.00,660.0,0.000444
3,Miscellaneous CDOT Projects (2025),430-432 E 48TH ST,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),4510 S VINCENNES AVE,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),4521-4523 S PRAIRIE AVE,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),4644 S VINCENNES AVE,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),4715 S WABASH AVE,$100.00,100.00,0.000067
3,,4736 S WABASH AVE,$100.00,100.00,0.000067
3,,4724 S WABASH AVE,$100.00,100.00,0.000067
3,Miscellaneous CDOT Projects (2025),4757 S PRAIRIE AVE,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),5031 S PRAIRIE AVE,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),5037 S INDIANA AVE,$150.00,150.0,0.000101
3,Miscellaneous CDOT Projects (2025),5111 S MICHIGAN AVE,$300.00,300.0,0.000202
3,Miscellaneous CDOT Projects (2025),5121 S WABASH AVE,$150.00,150.00,0.000101
3,,5115 S WABASH AVE,$150.00,150.00,0.000101
3,Miscellaneous CDOT Projects (2025),5217 S CALUMET AVE,$100.00,100.00,0.000067
3,,5219 S CALUMET AVE,$100.00,100.00,0.000067
3,,5213 S CALUMET AVE,$100.00,100.00,0.000067
3,Miscellaneous CDOT Projects (2025),601 E 45TH ST,$150.00,150.0,0.000101
3,Pavement Markings Menu (2025),E PERSHING RD & S RHODES AVE,"$2,500.00",2500.0,0.001682
3,Sidewalk Menu (2025),2001-2018 S PRAIRIE AVE,"$11,456.16",11456.16,0.007709
3,Sidewalk Menu (2025),4100-4112 S DR MARTIN LUTHER KING JR DR,"$25,000.00",25000.0,0.016823
3,Sidewalk Menu (2025),4543 S PRINCETON AVE,"$8,430.67",8430.67,0.005673
3,Sidewalk Menu (2025),4747 S DR MARTIN LUTHER KING JR DR,"$8,527.72",8527.72,0.005739
3,Sidewalk Menu (2025),40-60 W 29th St,"$45,978.89",45978.89,0.030941
3,Street Light Residential Staggered Piggy Back Menu (2025),0-300 E 40th St,"$47,000.00",47000.0,0.031628
3,Street Resurfacing Menu (2025),0-50 E 37th Pl,"$46,065.06",46065.06,0.030999
3,Street Resurfacing Menu (2025),400-499 E 42nd Pl,"$81,125.51",81125.51,0.054592
3,Street Resurfacing Menu (2025),200-380 E 44th St,"$141,333.18",141333.18,0.095107
3,Street Resurfacing Menu (2025),300-340 E 46th St,"$30,893.20",30893.2,0.020789
3,Street Resurfacing Menu (2025),3800-3900 S Calumet Ave,"$65,792.97",65792.97,0.044274
3,Street Resurfacing Menu (2025),3900-4100 S Calumet Ave,"$139,080.47",139080.47,0.093592
3,Street Resurfacing Menu (2025),4400-4500 S Evans Ave,"$33,477.48",33477.48,0.022528
3,Street Resurfacing Menu (2025),4700-4800 S Forrestville Ave,"$79,082.95",79082.95,0.053217
3,Street Resurfacing Menu (2025),4900-5100 S Prairie Ave,"$135,422.52",135422.52,0.091130
3,Street Resurfacing Menu (2025),4400-4600 S Wabash Ave,"$212,839.32",212839.32,0.143226
3,Street Resurfacing Menu (2025),0-100 W 24th St,"$87,912.76",87912.76,0.059159
3,Street Resurfacing Menu (2025),40-60 W 29th St,"$27,392.41",27392.41,0.018433
3,Street Resurfacing Menu (2025),0-100 W 30th St,"$85,612.30",85612.3,0.057611
3,Street Speed Hump Menu (2025),3799-3900 S Prairie Ave,"$4,880.00",4880.0,0.003284
3,Street Speed Hump Menu (2025),1-99 W 35th Pl,"$4,880.00",4880.0,0.003284
3,Street Speed Hump Menu (2025),1-99 W 36th St,"$4,880.00",4880.0,0.003284
3,Street Speed Hump Menu (2025),0-30 W Root St,"$2,440.00",2440.0,0.001642
3,Street Speed Hump Menu (2025),232-300 W Swann St,"$2,440.00",2440.0,0.001642
3,Street Speed Hump Replacement (2025),300-340 E 46th St,$0.00,0.0,0.000000
3,Street Speed Hump Replacement (2025),3800-3900 S Calumet Ave,$0.00,0.0,0.000000
3,Street Speed Hump Replacement (2025),3900-4100 S Calumet Ave,$0.00,0.0,0.000000
3,Street Speed Hump Replacement (2025),4400-4500 S Evans Ave,$0.00,0.0,0.000000
3,Street Speed Hump Replacement (2025),4700-4800 S Forrestville Ave,$0.00,0.0,0.000000
4,Alley Apron Menu (2025),4715 S LANGLEY AVE,"$14,526.92",14526.92,0.009685
4,Alley Resurfacing Menu (2025),E 43RD ST & S COTTAGE GROVE AVE & S DREXEL BLVD & E 44TH ST,"$92,628.08",92628.08,0.061752
4,Alley Speed Hump Replacement (2025),E 43RD ST & S COTTAGE GROVE AVE & S DREXEL BLVD & E 44TH ST,$0.00,0.0,0.000000
4,Arterial Street Bump Outs Menu (2025),E PERSHING RD & S RHODES AVE,"$60,000.00",60000.0,0.040000
4,Concrete Alley Menu (2025),S COTTAGE GROVE AVE & E 40TH ST & E 41ST ST & S LANGLEY AVE,"$9,786.97",9786.97,0.006525
4,,4030 S COTTAGE GROVE AVE,"$9,786.97",9786.97,0.006525
4,Concrete Alley Menu (2025),S ELLIS AVE & E 45TH ST & E 46TH ST & S GREENWOOD AVE,"$10,795.00",10795.0,0.007197
4,Curb & Gutter Menu (2025),4306 S ELLIS AVE,"$334,020.17",334020.17,0.222680
4,Curb & Gutter Menu (2025),E 49TH ST & S BLACKSTONE AVE,"$113,791.93",113791.93,0.075861
4,Curb & Gutter Menu (2025),E 50TH ST & S BLACKSTONE AVE,"$187,425.25",187425.25,0.124950
4,Miscellaneous CDOT Projects (2025),4220 S BERKELEY AVE,$150.00,150.0,0.000100
4,Miscellaneous CDOT Projects (2025),E OAKWOOD BLVD & S LSD OAKWOOD BL ER,$548.23,548.23,0.000365
4,Miscellaneous CDOT Projects (2025),4300-5100 S Drexel Blvd,"$24,000.00",24000.0,0.016000
