ward,menu_package,address,cost,cost_numeric,cost_share
1,Alley Resurfacing Menu (2023),W SUPERIOR ST & N PAULINA ST & N WOOD ST & W HURON ST,"$19,358.00",19358.00,0.012905
1,,1757 W SUPERIOR ST,"$19,358.00",19358.00,0.012905
1,Alley Speed Hump Replacement (2023),W SUPERIOR ST & N PAULINA ST & N WOOD ST & W HURON ST,$0.00,0.00,0.000000
1,,1757 W SUPERIOR ST,$0.00,0.00,0.000000
1,Arterial Street Bump Outs Menu (2023),N ASHLAND AVE & W HURON ST,"$150,000.00",150000.0,0.100000
1,Arterial Street Bump Outs Menu (2023),N ASHLAND AVE & W OHIO ST,"$100,000.00",100000.0,0.066667
1,Bike Lane/Marked Shared Lane Menu (2023),500-1000 N Paulina St,"$100,000.00",100000.0,0.066667
1,Concrete Alley Menu (2023),W ARMITAGE AVE & N WHIPPLE ST & N ALBANY AVE & W CORTLAND ST,"$43,441.95",43441.95,0.028961
1,Curb & Gutter Menu (2023),W BELDEN AVE & N TALMAN AVE,"$94,353.88",94353.88,0.062903
1,Logan Square Skate Park Renovation (Haas Park),2402 N WASHTENAW AVE,"$100,000.00",100000.0,0.066667
1,Miscellaneous CDOT Projects (2023),1900 W OHIO ST,$660.00,660.0,0.000440
1,Miscellaneous CDOT Projects (2023),1958 W DIVISION ST,$660.00,660.0,0.000440
1,Miscellaneous CDOT Projects (2023),827 N WOOD ST,$761.00,761.0,0.000507
1,Pavement Markings Menu (2023),500-800 N Ashland Ave,"$8,000.00",8000.0,0.005333
1,Pavement Markings Menu (2023),W FULLERTON AVE & N CAMPBELL AVE,"$10,000.00",10000.0,0.006667
1,Pavement Markings Menu (2023),W FULLERTON AVE & N TALMAN AVE,"$50,000.00",50000.0,0.033333
1,Pedestrian Refuge Island Menu (2023),N WESTERN AVE & W CHARLESTON ST,"$28,149.75",28149.75,0.018767
1,Protected Bike Lane Menu (2023),1800-2600 N California Ave,"$375,000.00",375000.0,0.250000
1,Sidewalk Menu (2023),1056 N PAULINA ST,"$5,062.01",5062.01,0.003375
1,Sidewalk Menu (2023),2221 W SUPERIOR ST,"$7,034.99",7034.99,0.004690
1,Sidewalk Menu (2023),N CALIFORNIA AVE & W NORTH AVE,"$8,165.46",8165.46,0.005444
1,Street Bump Outs Menu (2023),1310-1314 N OAKLEY BLVD,"$10,535.38",10535.38,0.007024
1,Street Bump Outs Menu (2023),1700 W LE MOYNE ST,"$10,466.69",10466.69,0.006978
1,,W LE MOYNE ST & N PAULINA ST,"$10,466.69",10466.69,0.006978
1,Street Bump Outs Menu (2023),W CRYSTAL ST & N WOOD ST,"$29,913.24",29913.24,0.019942
1,Street Bump Outs Menu (2023),W LE MOYNE ST & N WOOD ST,"$14,871.92",14871.92,0.009915
1,Street Bump Outs Menu (2023),W PIERCE AVE & N PAULINA ST,"$10,668.51",10668.51,0.007112
1,,1700 W PIERCE AVE,"$10,668.51",10668.51,0.007112
1,Street Bump Outs Menu (2023),W POTOMAC AVE & N WOOD ST,"$30,232.73",30232.73,0.020155
1,Street Resurfacing Menu (2023),500-600 N Hermitage Ave,"$10,748.74",10748.74,0.007166
1,Street Resurfacing Menu (2023),1400-1550 N Wicker Park Ave,"$95,717.96",95717.96,0.063812
1,Street Resurfacing Menu (2023),1900-2000 W Schiller St,"$84,704.56",84704.56,0.056470
1,Street Speed Hump Menu (2023),1370 N DEAN ST,"$2,440.00",2440.0,0.001627
1,Street Speed Hump Menu (2023),2500-2600 N Artesian Ave,"$2,440.00",2440.0,0.001627
1,Street Speed Hump Menu (2023),1500-1600 N Campbell Ave,"$4,880.00",4880.0,0.003253
1,Street Speed Hump Menu (2023),2500-2610 N Maplewood Ave,"$4,880.00",4880.0,0.003253
1,Street Speed Hump Menu (2023),2300-2500 N Maplewood Ave,"$4,880.00",4880.0,0.003253
1,Street Speed Hump Menu (2023),1900-2000 N Richmond St,"$4,880.00",4880.0,0.003253
1,Street Speed Hump Menu (2023),1900-2000 N Sawyer Ave,"$4,880.00",4880.0,0.003253
1,Street Speed Hump Menu (2023),1320-1370 N Wicker Park Ave,"$4,880.00",4880.0,0.003253
1,Street Speed Hump Menu (2023),2100-2200 W Haddon Ave,"$4,880.00",4880.0,0.003253
1,Street Speed Hump Menu (2023),1400-1600 W Huron St,"$7,320.00",7320.0,0.004880
1,Street Speed Hump Menu (2023),1600-1800 W Pearson St,"$9,760.00",9760.0,0.006507
1,Street Speed Hump Menu (2023),2200-2300 W Potomac Ave,"$2,440.00",2440.0,0.001627
1,Street Speed Hump Menu (2023),2900-3000 W Schubert Ave,"$2,440.00",2440.0,0.001627
1,Street Speed Hump Replacement (2023),500-600 N Hermitage Ave,$0.00,0.0,0.000000
1,Street Speed Hump Replacement (2023),1400-1550 N Wicker Park Ave,$0.00,0.0,0.000000
1,Street Speed Hump Replacement (2023),1900-2000 W Schiller St,$0.00,0.0,0.000000
2,Alley Apron Menu (2023),2353 N LAKEWOOD AVE,"$50,503.65",50503.65,0.034900
2,Concrete Alley Menu (2023),N LARRABEE ST & W NORTH AVE & W BLACKHAWK ST & N MOHAWK ST,"$318,000.00",318000.0,0.219748
2,Pavement Markings Menu (2023),E CHICAGO AVE & N MIES VAN DER ROHE WAY,$900.00,900.0,0.000622
2,Sidewalk Menu (2023),1030 N CLARK ST,"$38,759.53",38759.53,0.026784
