ward,menu_package,address,cost,cost_numeric
2,"North Wells St from W Division St to W North Av. Including Burton Place from Wells St East to Cul de Sac. Two teardrops at North Av and Two Acorns, East side of Wells N",ON N WELLS ST FROM W DIVISION ST (1200 N) TO W NORTH AVE (1600 N),"$279,032.03",279032.03
2,"of North Av, Upgrading Street Light Controller to Smart function. Replacement of grass with turf and replacement of granite",2210 N SOUTHPORT AVE,"$50,000.00",50000.0
2,Sidewalk Menu (2025),2069 N CLYBOURN AVE,"$42,053.26",42053.26
2,Sidewalk Menu (2025),33 E DIVISION ST,"$7,342.31",7342.31
2,Street Bump Outs Menu (2025),E ERIE ST & N LAKE SHORE DR,"$22,000.00",22000.0
2,Street Bump Outs Menu (2025),W BELDEN AVE & N MAGNOLIA AVE,"$70,000.00",70000.0
2,Street Light Pole Painting Menu (2025),129-130 W NORTH AVE; 15 E DIVISION ST; 1024 N STATE ST; 317 E ONTARIO ST; 1642 N NORTH PARK AVE; N FAIRBANKS CT & E ONTARIO ST; 534 N FAIRBANKS CT,"$9,746.00",9746.0
2,Street Light Pole Painting Menu (2025),ON N CLARK ST FROM W NORTH AVE (1599 N) TO W LA SALLE DR (1700 N),"$21,336.00",21336.0
2,Street Light Pole Painting Menu (2025),ON N CLYBOURN AVE FROM N SOUTHPORT AVE (2132 N) TO N ASHLAND AVE (2330 N),"$38,467.00",38467.0
2,Street Light Pole Painting Menu (2025),ON N FAIRBANKS CT FROM E GRAND AVE (528 N) TO E ONTARIO ST (628 N),"$16,267.00",16267.0
2,Street Light Pole Painting Menu (2025),ON N LA SALLE ST FROM W NORTH AVE (1600 N) TO W EUGENIE ST (1710 N),"$16,983.00",16983.0
2,Street Light Pole Painting Menu (2025),ON N STATE PKWY FROM E GOETHE ST (1300 N) TO E BURTON PL (1500 N),"$17,965.00",17965.0
2,Street Light Pole Painting Menu (2025),ON W NORTH AVE FROM N NORTH PARK AVE (300 W) TO N HALSTED ST (800 W),"$47,454.00",47454.0
2,Street Light Upgrade Menu (2025),1742-1744 N CLYBOURN AVE,$500.00,500.0
2,Street Light Upgrade Menu (2025),1760 N CLYBOURN AVE,$500.00,500.0
2,Street Resurfacing Menu (2025),ON E CHESTNUT ST FROM N DEWITT PL (250 E) TO N LAKE SHORE DR (300 E),"$67,356.85",67356.85
2,Street Resurfacing Menu (2025),ON E HURON ST FROM N ST CLAIR ST (200 E) TO N FAIRBANKS CT (300 E),"$70,163.16",70163.16
2,Street Resurfacing Menu (2025),ON N SOUTHPORT AVE FROM W WEBSTER AVE (2200 N) TO W FULLERTON AVE (2400 N),"$72,850.23",72850.23
2,Street Resurfacing Menu (2025),ON N STATE PKWY FROM E SCOTT ST (1232 N) TO E SCHILLER ST (1400 N),"$116,763.57",116763.57
2,Street Resurfacing Menu (2025),ON W CONCORD LN FROM N CLYBOURN AVE (900 W) TO N SHEFFIELD AVE (1000 W),"$55,910.27",55910.27
2,Street Resurfacing Menu (2025),ON W DICKENS AVE FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE (1300 W),"$76,768.97",76768.97
2,Street Speed Hump Menu (2025),849 N FRANKLIN ST; ON N FRANKLIN ST FROM W INSTITUTE PL (830 N) TO W CHESTNUT ST (860 N),"$2,440.00",2440.0
2,Street Speed Hump Replacement (2025),ON N STATE PKWY FROM E SCOTT ST (1232 N) TO E SCHILLER ST (1400 N),$0.00,0.0
2,Street Speed Hump Replacement (2025),ON W DICKENS AVE FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE (1300 W),$0.00,0.0
2,Traffic Signal Pole Painting menu (2025),ON N SOUTHPORT AVE FROM W SHAKESPEARE AVE (2132 N) TO W FULLERTON AVE (2400 N),"$18,830.00",18830.0
2,Viaduct Improvement Menu (2025),E DIVISION ST & N LAKE SHORE DR,"$20,446.77",20446.77
3,Alley Resurfacing Menu (2025),S CALUMET AVE & E 40TH ST&E 41ST ST & S PRAIRIE AVE,"$37,129.36",37129.36
3,Alley Resurfacing Menu (2025),S MICHIGAN AVE & E 21ST ST&E CERMAK RD & S WABASH AVE,"$12,883.19",12883.19
